Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:11 EST
"Nutrient data for: 14091, Beverages, almond milk, unsweetened, shelf stable"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup = 262.0g",
Proximates
"Water",g,181.97,254.27
"Energy",kcal,28,39
"Protein",g,1.11,1.55
"Total lipid (fat)",g,2.06,2.88
"Carbohydrate, by difference",g,1.09,1.52
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,369,516
"Iron, Fe",mg,0.66,0.92
"Magnesium, Mg",mg,13,18
"Phosphorus, P",mg,19,26
"Potassium, K",mg,126,176
"Sodium, Na",mg,133,186
"Zinc, Zn",mg,0.13,0.18
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.112,0.157
"Riboflavin",mg,0.088,0.123
"Niacin",mg,0.141,0.196
"Vitamin B-6",mg,0.028,0.039
"Folate, DFE",µg,2,3
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,81,113
"Vitamin A, IU",IU,266,372
"Vitamin E (alpha-tocopherol)",mg,5.27,7.36
"Vitamin D (D2 + D3)",µg,1.9,2.6
"Vitamin D",IU,79,110
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,1.328,1.855
"Fatty acids, total polyunsaturated",g,0.442,0.618
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
